"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 26 10:36:07 CST 2023","Mon Jun 26 10:36:11 CST 2023","3358","testsuites.proxyAudit","test_proxyserver_audit_reject_detail_test","TestCaseTestProxyserverAuditRejectDetail","","","托管审核驳回，查看驳回详情","TestCase ID: 19505052-107c-437b-a111-77a7d35ca0f8"
"passed","Mon Jun 26 10:36:12 CST 2023","Mon Jun 26 10:36:15 CST 2023","3220","testsuites.proxyAudit","test_proxyserver_audit_sumbit_test","TestCaseTestProxyserverAuditSumbit","","","托管审核通过，并验证列表中'已托管'状态","TestCase ID: b8d0c111-acb6-400a-9906-01005c6383f6"
"broken","Mon Jun 26 10:32:02 CST 2023","Mon Jun 26 10:32:06 CST 2023","4436","testsuites.checkhandle","checkHandleDel_test","TestCaseCheckhandledel","","","门户首页查询已删除的标识","TestCase ID: d56abb56-b214-48b6-b4b3-d7236501dc62"
"passed","Mon Jun 26 10:34:38 CST 2023","Mon Jun 26 10:34:41 CST 2023","3705","testsuites.prefixAlloc","prefixAllocLog_test","TestCasePrefixalloclog","","","前缀分配用例集-42","TestCase ID: 4d550e92-a026-44e1-bc0b-7c17bb57218e"
"passed","Mon Jun 26 10:35:07 CST 2023","Mon Jun 26 10:35:12 CST 2023","4688","testsuites.prefixAudit","test_update_prefix_audit_success_test","TestCaseTestUpdatePrefixAuditSuccess","","","重新申请","TestCase ID: 571e406d-4526-4d3d-b1c9-621b56f9c975"
"passed","Mon Jun 26 10:36:45 CST 2023","Mon Jun 26 10:36:48 CST 2023","3748","testsuites.template","test_template_upload_test","TestCaseTestTemplateUpload","","","数据模板申报","TestCase ID: dc64ee20-5b52-48da-9733-77137fbdb097"
"passed","Mon Jun 26 10:32:54 CST 2023","Mon Jun 26 10:32:55 CST 2023","749","testsuites.entapply","store_test","TestCaseStore","","","企业注册信息暂存用例集","TestCase ID: 73460b57-4d78-40fe-8c2e-4aa6f861cfce"
"passed","Mon Jun 26 10:32:07 CST 2023","Mon Jun 26 10:32:42 CST 2023","34932","testsuites.checkhandle","checkId_adopt_test","TestCaseCheckidAdopt","","","门户查询已存在的标识信息用例集","TestCase ID: 966d9892-35c0-45f5-95a6-3956a97b1729"
"passed","Mon Jun 26 10:35:04 CST 2023","Mon Jun 26 10:35:06 CST 2023","1824","testsuites.prefixAudit","prefixRejected_test","TestCasePrefixrejected","","","前缀审核驳回","TestCase ID: d5401bb1-aed5-4a08-a4cd-edae130468db"
"passed","Mon Jun 26 10:35:32 CST 2023","Mon Jun 26 10:35:36 CST 2023","4384","testsuites.prefixmanager","prefix_proxy_audit_pass_test","TestCasePrefixProxyAuditPass","","","前缀管理列表","TestCase ID: d83f42d8-687c-42a8-8e9a-5bb317cfc9ef"
"passed","Mon Jun 26 10:32:46 CST 2023","Mon Jun 26 10:32:50 CST 2023","3858","testsuites.entapply","apply_again_test","TestCaseApplyAgain","","","企业被驳回后重新申请","TestCase ID: 98282d7a-10b4-4a2c-8118-b8b5574e8cb4"
"passed","Mon Jun 26 10:35:13 CST 2023","Mon Jun 26 10:35:16 CST 2023","3640","testsuites.prefixmanager","prefix_config_add_v4_test","TestCasePrefixConfigAddV4","","","前缀配置-新增-v4","TestCase ID: 5963a972-a21c-4278-a1b2-fbd7152f15bb"
"passed","Mon Jun 26 10:33:14 CST 2023","Mon Jun 26 10:33:18 CST 2023","3944","testsuites.handle","test_handle_detail_test","TestCaseTestHandleDetail","","","托管标识详情-5","TestCase ID: 4ddb1e9d-135e-460e-8485-e4298b215fdf"
"passed","Mon Jun 26 10:36:49 CST 2023","Mon Jun 26 10:36:49 CST 2023","449","testsuites.uploadfile","test_upload_excel_test","TestCaseTestUploadExcel","","","excel上传","TestCase ID: 41f15317-262a-4219-999b-e6d6700f3ef9"
"passed","Mon Jun 26 10:35:27 CST 2023","Mon Jun 26 10:35:31 CST 2023","4235","testsuites.prefixmanager","prefix_proxy_audit_no_pass_test","TestCasePrefixProxyAuditNoPass","","","前缀托管审核不通过","TestCase ID: 7a0b39e7-e37b-4e84-96a3-2170f53ce0cf"
"passed","Mon Jun 26 10:34:30 CST 2023","Mon Jun 26 10:34:31 CST 2023","311","testsuites.logmanager","userlog_test","TestCaseUserlog","","","用户日志记录","TestCase ID: 710e3eda-f9fb-4b89-bc84-31e25d878d3d"
"passed","Mon Jun 26 10:34:32 CST 2023","Mon Jun 26 10:34:37 CST 2023","4798","testsuites.prefixAlloc","prefixAlloc_10_test","TestCasePrefixalloc10","","","前缀分配删除校验","TestCase ID: 21933f1e-0684-4593-8f36-421e334a6fd1"
"passed","Mon Jun 26 10:31:51 CST 2023","Mon Jun 26 10:31:57 CST 2023","6687","testsuites.checkFlow","check_prefix_fail_test","TestCaseCheckPrefixFail","","","核验接口","TestCase ID: 87d9817e-717e-4d8d-8cac-25ccb9bc5a59"
"passed","Mon Jun 26 10:33:01 CST 2023","Mon Jun 26 10:33:05 CST 2023","3640","testsuites.entapply","update_test","TestCaseUpdate","","","更新已审核通过的企业前缀用例集","TestCase ID: 11a67da5-0b29-4ae4-a1d4-ab5c50573e8f"
"passed","Mon Jun 26 10:32:55 CST 2023","Mon Jun 26 10:32:57 CST 2023","1401","testsuites.entapply","store_final_test","TestCaseStoreFinal","","","企业注册信息第三步暂存用例集","TestCase ID: ee59f2a2-880a-4f4b-b3dc-66db797d7e7e"
"passed","Mon Jun 26 10:32:58 CST 2023","Mon Jun 26 10:32:59 CST 2023","1255","testsuites.entapply","store_second_test","TestCaseStoreSecond","","","企业注册第二步信息暂存用例集2","TestCase ID: 3c260666-03d3-4bd9-a7ab-3be7f376a3f8"
"passed","Mon Jun 26 10:33:10 CST 2023","Mon Jun 26 10:33:13 CST 2023","3074","testsuites.entBusiness","entBusinessPage_admin_test","TestCaseEntbusinesspageAdmin","","","标识业务数据-管理员查看-39","TestCase ID: 2c07defc-337f-4e0d-882e-b8734b0e9ccf"
"passed","Mon Jun 26 10:33:19 CST 2023","Mon Jun 26 10:33:53 CST 2023","34019","testsuites.handle","test_handle_resolve_withChineseValue_test","TestCaseTestHandleResolveWithchinesevalue","","","用申报的模板递归解析，显示模板中中文名称属性-12","TestCase ID: 6d8ef53d-dd34-4850-aaf9-f9b178d70ed1"
"passed","Mon Jun 26 10:33:54 CST 2023","Mon Jun 26 10:34:18 CST 2023","24110","testsuites.handle","test_handle_update_delete_test","TestCaseTestHandleUpdateDelete","","","托管标识详情-5","TestCase ID: 37309917-5a20-4900-a7ec-c1f5793c711f"
"passed","Mon Jun 26 10:36:40 CST 2023","Mon Jun 26 10:36:44 CST 2023","3500","testsuites.template","test_template_update_test","TestCaseTestTemplateUpdate","","","托管标识详情-5","TestCase ID: ab561803-8f24-4d18-bae2-6018d766012d"
"passed","Mon Jun 26 10:31:58 CST 2023","Mon Jun 26 10:32:01 CST 2023","2401","testsuites.checkFlow","check_prefix_success_test","TestCaseCheckPrefixSuccess","","","企业审核驳回接口","TestCase ID: 316cd1b4-79a3-43c0-81ea-8ba0747fb7e2"
"passed","Mon Jun 26 10:32:53 CST 2023","Mon Jun 26 10:32:53 CST 2023","664","testsuites.entapply","register_wrong_test","TestCaseRegisterWrong","","","企业注册信息用例集","TestCase ID: 7fe90f94-defc-4f4a-97d8-d04088c4f556"
"passed","Mon Jun 26 10:35:17 CST 2023","Mon Jun 26 10:35:22 CST 2023","5241","testsuites.prefixmanager","prefix_config_modify_v6_test","TestCasePrefixConfigModifyV6","","","前缀配置-修改-v6","TestCase ID: 7e8c3f2c-6d51-48cd-a2a6-1814653500ce"
