"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 26 16:53:01 CST 2023","Mon Jun 26 16:54:57 CST 2023","116159","testsuites.statistic","ent_biaoshiStatistic_test","TestCaseEntBiaoshistatistic","","","创建标识后查看企业首页标识统计","TestCase ID: 36207080-5f5f-471e-a142-6e20540e3f69"
"broken","Tue Jun 27 16:17:41 CST 2023","Tue Jun 27 16:19:35 CST 2023","114621","testsuites.statistic","test_handle_statistic_ent_test","TestCaseTestHandleStatisticEnt","","","创建标识且解析该标识后查看企业首页标识统计-3、4","TestCase ID: 2205bb93-2cf3-4688-816e-7ad387eaa6e6"
"broken","Mon Jun 26 16:37:18 CST 2023","Mon Jun 26 16:39:13 CST 2023","114988","testsuites.statistic","datamanager_biaoshiStatistic_parse_test","TestCaseDatamanagerBiaoshistatisticParse","","","管理员用户数据管理统计解析量","TestCase ID: 96603c6f-9fad-4c15-bd12-e53ffd582ac0"
"broken","Mon Jun 26 10:55:32 CST 2023","Mon Jun 26 10:56:56 CST 2023","84580","testsuites.statistic","biaoshiStatistic_test","TestCaseBiaoshistatistic","","","管理员数据管理统计标识注册","TestCase ID: ef122cfe-c95c-4898-82b7-d33997b7b10c"
"broken","Tue Jun 27 15:37:53 CST 2023","Tue Jun 27 15:39:17 CST 2023","84164","testsuites.statistic","selfIdhub_admin_test","TestCaseSelfidhubAdmin","","","idhub标识注册用例集-admin-30,31","TestCase ID: e23510c8-68f5-44e6-a879-8af3f11581c3"
"broken","Tue Jun 27 14:57:07 CST 2023","Tue Jun 27 14:59:01 CST 2023","114336","testsuites.statistic","proxy_biaoshiStatistic_test","TestCaseProxyBiaoshistatistic","","","创建标识后查看企业首页标识统计","TestCase ID: 852c8806-c22c-4e45-9b03-6a6bfc9ea030"
"broken","Mon Jun 26 17:55:08 CST 2023","Mon Jun 26 17:56:34 CST 2023","85559","testsuites.statistic","handle_reglist_top_10_test","TestCaseHandleReglistTop10","","","首页前缀注册前10","TestCase ID: e497cf49-1283-4da2-9bfc-972e30f46eba"
"broken","Tue Jun 27 14:50:41 CST 2023","Tue Jun 27 14:50:46 CST 2023","4892","testsuites.statistic","handle_stocknum_registernum_test","TestCaseHandleStocknumRegisternum","","","标识注册后删除","TestCase ID: 19e92138-8b00-4307-a98f-dde978a3ed1a"
"broken","Tue Jun 27 16:09:44 CST 2023","Tue Jun 27 16:11:08 CST 2023","84363","testsuites.statistic","selfIdhub_ent_test","TestCaseSelfidhubEnt","","","idhub标识注册-ent-33","TestCase ID: 70f474a8-282b-4118-850a-1d6513891843"
"broken","Mon Jun 26 11:27:10 CST 2023","Mon Jun 26 11:28:36 CST 2023","85409","testsuites.statistic","biaoshiStatistic_registertop10_test","TestCaseBiaoshistatisticRegistertop10","","","管理员数据管理统计标识注册","TestCase ID: e881f4b5-b45f-46e6-9cf9-b2ec9910ca80"
"broken","Mon Jun 26 17:30:48 CST 2023","Mon Jun 26 17:32:44 CST 2023","116208","testsuites.statistic","handle_prase_num_test","TestCaseHandlePraseNum","","","解析标识","TestCase ID: 7fe49256-c8b1-40ca-9b40-995c2c7c46d5"
